datetime,department,name
 2021/03/21 11:50 ,人文学院,我国工作时间基准的反思与重建——以“996”工作制为视角
 2021/03/20 20:01 ,计算机学院,蓝图开放平台开发者工具（ VSCode 插件）
 2021/03/20 20:00 ,计算机学院,基于蓝图开源平台的 Metrics 指标度量系统
 2021/03/20 19:59 ,计算机学院,基于蓝图开源平台的 Faas 云函数计算系统
 2021/03/20 19:57 ,计算机学院,基于蓝图开源平台的自动化云部署平台
 2021/03/18 16:03 ,人工智能学院,面向多智能体协作的对抗攻击
 2021/03/18 15:54 ,人工智能学院,智能网联汽车多源感知融合机制研究
 2021/03/18 15:50 ,人工智能学院,基于kubeedge的联邦学习框架
 2021/03/18 15:44 ,人工智能学院,基于ROS的多智能体路径规划设计
 2021/03/18 15:17 ,人工智能学院,用于数据缓存的智能路由器设计与研究
 2021/03/18 11:29 ,计算机学院,馆够-面向体育场馆预约服务的微信小程序和网站系统
 2021/03/23 08:11 ,马克思主义学院,乡村振兴视域下的村级党组织建设现状
 2021/03/22 21:37 ,信息与通信工程学院,空中裸眼三维技术
 2021/03/22 19:35 ,电子工程学院,光纤空分复用信道仿真与模拟
 2021/03/22 18:35 ,经济管理学院,新媒体时代高校网络舆情特征及应对策略
 2021/03/22 15:41 ,电子工程学院,用于手势识别的柔性数据手套的研制
 2021/03/22 12:11 ,信息与通信工程学院,基于FPGA的实时图像处理系统设计与研究
 2021/03/22 12:10 ,信息与通信工程学院,基于PYNQ的智能动作分割系统
 2021/03/22 12:08 ,理学院,TiO2纳米阵列结构的黑化处理和电催化产氢研究
 2021/03/22 11:51 ,信息与通信工程学院,FEEL工作室智慧学习平台——教师、助教、学生门户
 2021/03/22 11:10 ,信息与通信工程学院,FEEL工作室智慧学习平台--基于工单的学生-助教答疑平台
 2021/03/23 10:09 ,经济管理学院,基于Kahoot!平台的大学生创新创业类课程学习活动设计与实践
 2021/03/23 08:19 ,马克思主义学院,乡村振兴视域下的农村文化建设现状
 2021/03/31 14:23 ,叶培大创新创业学院,“邮纪”——北邮人的专属电子纪念册
 2021/03/31 11:22 ,国际学院,区块链（Blockchain）和网络货币研究
 2021/03/30 18:14 ,图书馆,基于大数据分析背景音乐对读者学习效率的影响
 2021/03/30 11:42 ,电子工程学院,基于区块链的审稿系统研发
 2021/03/29 14:46 ,电子工程学院,面向人工智能的神经元器件设计与研究
 2021/03/29 10:11 ,信息与通信工程学院,大数据时代隐私泄露溯源追踪技术研究
 2021/03/28 18:36 ,人工智能学院,基于视觉的移动机器人跟随控制
 2021/03/28 18:33 ,人工智能学院,一种便携式心电信号采集装置
 2021/03/26 17:22 ,理学院,多层复合储能电容器的设计与制备
 2021/03/26 17:20 ,理学院,高功率密度脉冲电容器件的仿真设计
 2021/04/20 11:11 ,信息与通信工程学院,开发一款自行成交房产交易平台
 2021/04/19 13:51 ,信息与通信工程学院,FEEL未来工程教育实验室
 2021/04/19 09:22 ,电子工程学院,沙尘和盐雾环境电子连接故障检测系统设计
 2021/04/16 14:07 ,理学院,基于深度学习的期权定价
 2021/04/15 15:21 ,计算机学院,智能日记
 2021/04/14 18:51 ,马克思主义学院,校园英雄榜样文化宣传路径与特征研究
 2021/04/14 14:02 ,人工智能学院,建筑工地噪音识别与定位系统
 2021/04/14 13:25 ,马克思主义学院,西方民粹主义思潮影响下中国网络论坛爱国主义走向分析
 2021/04/14 12:49 ,马克思主义学院,社交媒体推特对中国形象宣传特征与实质研究
 2021/04/14 12:25 ,马克思主义学院,美国“英模”宣传教育特点和机制研究
 2021/04/06 14:25 ,计算机学院,机器学习算法在经济预测模型的研究与实践
 2021/04/06 09:38 ,人工智能学院,基于动作复现的虚拟人生成
 2021/04/06 08:17 ,人工智能学院,基于增强现实3D心脏操作
 2021/04/04 11:30 ,人工智能学院,无人机群智系统研发
 2021/04/02 19:55 ,信息与通信工程学院,深度学习目标检测调研和工程实现
 2021/04/02 15:55 ,理学院,基于超立方体图的网络哈密尔顿圈嵌入研究
 2021/04/02 10:12 ,网络空间安全学院,格基约化算法在密码分析中的应用
 2021/04/01 20:49 ,马克思主义学院,“网络红人”现象对大学价值观的影响与对策研究——以北京邮电大学为例
 2021/04/01 09:36 ,马克思主义学院,农村地区精准扶贫的实践现状及对策研究
 2021/04/01 08:30 ,现代邮政学院（原自动化）,高分辨抗干扰的智能电能表资产铭牌识别系统
 2021/04/14 09:56 ,计算机学院,基于区块链的北邮学位认证系统
 2021/04/13 18:52 ,计算机学院,医疗化验单OCR识别系统研究
 2021/04/12 17:08 ,人工智能学院,便携式AI研发演示系统
 2021/04/12 10:38 ,计算机学院,基于大数据技术的企业无组织排放行为算法的研究与实施
 2021/04/11 15:57 ,现代邮政学院（原自动化）,一种半球差动球形机器人的研制
 2021/04/08 11:43 ,图书馆,北邮西土城校区图书馆视觉形象可识别（VI）系统打造及应用
 2021/04/08 10:15 ,人工智能学院,基于深度学习的动物个体识别技术
 2021/04/07 13:18 ,人工智能学院,基于FPGA的智能家居系统
 2021/04/07 10:35 ,人工智能学院,基于FPGA的深度学习目标检测的实现
 2021/04/07 10:25 ,人工智能学院,基于FPGA的数字芯片自动测试系统设计
 2021/04/23 10:08 ,电子工程学院,用于包虫病诊断的拉曼光谱特征提取与分类算法的建立与比较评估
 2021/04/23 09:44 ,图书馆,基于声纹识别的智能门禁系统研发
 2021/04/23 08:20 ,人文学院,学习是个圈APP
 2021/04/22 19:02 ,教务处教学技术服务中心,基于教学云平台的学习行为分析
 2021/04/21 21:23 ,电子工程学院,语音控制无人机技术和系统
 2021/04/21 19:24 ,电子工程学院,校园闪送小程序
 2021/04/21 19:20 ,电子工程学院,自习室预约微信小程序
 2021/04/21 15:13 ,理学院,基于外连通度的网络可靠性评估
 2021/04/21 10:28 ,现代邮政学院（原自动化）,记忆合金驱动的灵巧手设计
 2021/04/21 09:33 ,图书馆,图书馆漂流岛图书自助借还微信小程序
 2021/04/28 14:47 ,经济管理学院,智能问诊（导医）系统
 2021/04/28 14:44 ,经济管理学院,智能媒体分发系统
 2021/04/28 14:28 ,中国矿业大学（北京）,青担——疫情后时代老旧社区治理智慧+服务先锋小程序制作人员
 2021/04/28 00:07 ,马克思主义学院,“网红”经济下乡村振兴发展的长效化研究
 2021/04/27 18:11 ,人文学院,基于微信的“北邮人二手书交易”小程序（二期）
 2021/04/26 23:35 ,经济管理学院,大学生智能手机使用问题研究
 2021/04/26 22:46 ,经济管理学院,大学生心理求助问题研究
 2021/04/26 09:59 ,图书馆,基于ESI数据库的学科分析报告自动生成系统研究
 2021/04/25 22:27 ,网络教育学院,企业科技向善的价值创造和监管准则研究
 2021/04/23 19:44 ,现代邮政学院（原自动化）,基于多模态人脸识别的宿舍智能门锁设计
 2018/04/05 18:02 ,人文学院,自动驾驶汽车交通事故处理规则研究
 2018/04/02 15:16 ,,基于模式识别的快件智能安全诊断
 2018/04/01 16:10 ,,基于深度学习的遥感图像分类
 2018/04/01 16:07 ,,基于深度学习的推荐算法研究
 2018/03/30 19:15 ,计算机学院,砌墙机器人
 2018/03/30 19:07 ,计算机学院,教学游戏APP
 2018/03/30 19:04 ,计算机学院,羽毛球教练机器人
 2018/03/30 18:58 ,计算机学院,智能读书机器人
 2018/03/28 17:01 ,,模拟人物表情机器人脸设计与制作
 2018/03/26 11:30 ,,基于深度学习的代码缺陷自动确认
 2021/05/02 22:35 ,信息与通信工程学院,关于大学生垃圾分类宣导机制的探索
 2021/04/30 17:14 ,网络教育学院,信号，你好！
 2021/04/30 08:50 ,人文学院,英语学术论文写作知识库及语料库建设
 2021/04/29 08:46 ,人文学院,经典阅读
 2021/04/28 21:05 ,理学院,朱兰质量三部曲的研究和实践
 2021/04/28 21:02 ,理学院,统计学模拟器
 2021/04/28 17:03 ,马克思主义学院,网络影视评论极化现象及其对对青少年的影响
 2021/04/28 15:48 ,信息与通信工程学院,增强现实AR空中裸眼三维之交互技术
 2021/04/28 15:45 ,信息与通信工程学院,增强现实AR空中裸眼三维显示技术
 2021/04/28 14:48 ,经济管理学院,VR康复训练系统
 2018/03/26 09:50 ,软件学院,基于双目视觉的久坐提醒系统
 2018/03/23 10:33 ,叶培大创新创业学院,思想政治教育与创新创业教育双向建构研究
 2018/03/22 20:23 ,自动化学院,可穿戴脉象仪设计研究
 2018/03/22 13:03 ,,基于半导体量子点与光学微腔耦合系统设计光子通用三比特量子逻辑门
 2018/03/22 08:03 ,自动化学院,基于SLAM的六轮车智能导航技术研究
 2018/03/21 16:01 ,国际学院,北邮文创产品设计及推广
 2018/03/21 11:32 ,国际学院,虚拟实验室
 2018/03/20 12:04 ,国际学院,智能教育相关算法研究
 2018/03/19 20:32 ,信息与通信工程学院,基于机器视觉的智能驾驶技术研究
 2018/03/19 18:02 ,自动化学院,智能平衡小车的控制研究
 2018/04/17 10:30 ,叶培大创新创业学院,邮你邮我——北邮人的纪念册
 2018/04/16 10:38 ,人文学院,大型国际体育赛事英语新闻素材采写与编译策略研究
 2018/04/11 16:37 ,,基于深度学习的图像关系预测
 2018/04/11 16:34 ,,面向人机交互的表情机器人头部机构设计
 2018/04/11 13:33 ,理学院,面向清洁能源的二维电极材料研究
 2018/04/11 12:07 ,,课程地图自动生成软件
